SiteName,Region,Period,TombID,BronzePeriod,NoInterRegionalPotImports,InterRegionalPotImportDesc,NoInternPotImports,InternPotImportsDesc,NoLocalPots,LocalPotsDesc,NoRitualItems,RitualItemDesc,NoFeastingSpecial,FeastingSpecialDesc,NoCuLocalArtifacts,CuLocalArtifactsDesc,NoBrzArtifacts,BrzArtifactsDesc,NoOtherMetalImports,OtherMetalImportsDesc,NoAnimalBone,AnimalBoneDesc,NoOtherInterRegionalImport,OtherInterRegionalImportDesc,NoOtherInternationalImport,OtherInternationalImportDesc,NoOtherLocalGoods,OtherLocalGoodsDesc,NoIntraRegionalPotImport,IntraRegionalImportPotDesc,NoIntraRegionalImport,IntraRegionalImportDesc,NoLocalPicrolite,PicroliteDesc,NoPicroliteImport,NoTombdecor,MetalMakingSupIconDesc,TotalPots,TotalIntraRegionalGoods,TotalInterRegionalGoods,TotalInternationalGoods,TotalIdeology,TotalMinerals,TotalMetals,TotalLocal,TotalArtifacts,TotalImports,TotalFeasting,TotalLocalImport
Kalavasos Panayia Church,South,PreBA 2,36,MC II,11,"White Painted II jug 1
White Painted II juglet 1
White Painted II bird vessel 1
White Painted IV amphora (from Deneia)1
RP III gourd juglet 6
Black Slip II amphora 1",0,,88,"RPm III amphora 3
RPm III bowl 33
RPm III bowl with figural scene 1
RPm III jug 7
RPm III spouted bowl 10
RPm III juglet 14
RP III amphora 4
RPm III cooking pot 4
RP III juglet 6
RP III bottle 1
RP III dipper/ladle 2
RPm III base from closed vessel 1
RP III black topped bowl 1
RP III bowl 1",2,"RPm III bowl with figural scene- bread making, wine making 1
White Painted II bird vessel 1",0,,15,"Copper/bronze scraper 1 ? 
Copper/bronze razor scraper 1
Copper/bronze knife (lumpy) 1
Copper/bronze pin (not tested) 1
Fragments of copper/bronze clothing adornments 1
Arsenical copper awl (spike) tested 1
Copper/bronze earrings (untested) 3
Copper/bronze pin (untested) 1
Copper/bronze sword with mid-rib  2 untested
Copper/bronze knife with mid-rib  2 untested
Arsenical copper knife (razor/scraper) 1",4,"Copper/bronze bracelet fragments (untested but similar to a tested bronze one) 2
Copper/bronze tweezers (not tested but similar to tested with tin-arsenic-copper alloy) 1
Tin Bronze jewelry fragment (tested) 1",1,Silver coil 1 (untested),0,,0,,2,"Beads- necklace of blue, white and red stone and faience (faience is import), 722 beads counted as 1 object
Beads- 108 spherical faience beads counted as 1 object",4,"Diabase macehead 1
Sandstone whetstone 1
Beads- blue, white, red counted as 1 object 1
Beads- white, blue, red, black, white 1 object",1,DPBC jug 1,0,,0,,0,0,,100,1,11,7,2,20,20,107,126,19,100,12
Kalavasos Panayia Church,South,PreBA 2,37,MC II,2,RP III gourd juglet 2,0,,23,"RPm III bowl 8
RPm III juglet 4
RP III amphora 2
RP III juglet 3
RPm III jug 1
RP III coarse jug 1
RP III coarse juglet 1
RP III coarse jar 1
RPm III cooking pot 1
RPm III spouted bowl 1",0,,0,,11,"Arsenical copper dagger/spearhead 1 (tested)
Copper/bronze dagger/spearhead 1
Copper/bronze sword 1
Copper/bronze knife 2
Copper/bronze axe 2
Copper/bronze scraper 1
Copper/bronze pin/needle 1
Copper/bronze bracelet 1
Copper/bronze frags of artifact 1",3,"Tin-arsenic-copper alloy tweezers 2
Tin-arsenic-copper alloy knife 1",3,"2 silver fragments- international, counted as 1 object
Silver bracelet 1
Silver fragments 1",0,,0,,6,"5 spherical faience beads counted as 1 object
8 discoid, ribbed and spherical faience beads counted as 1 object
Faience beads counted as 1 object
1 conical ribbed faience bead
38 faience beads counted as 1 object 
7 faience beads counted as 1 object",3,RP III biconical spindle whorl 1                          Sandstone Whetstone 2,0,,0,,0,,0,0,,25,0,2,12,0,17,17,37,51,14,25,2
Kalavasos Panayia Church,South,PreBA 2,38,MC III,1,Black Polished bowl 1,0,,29,"RP III coarse juglet 1
RPm III bowl 8
RP Punctured jug 1
RPm III jug 5
RP III juglet 2
RP III coarse amphora 1
RP III coarse juglet 1
RP III jug 1
RPm III cooking pot 1
RP III amphora 1
RPm III juglet 6
RPm III base for closed vessel 1",0,,0,,1,2 Copper/bronze beads counted as 1 object,0,,0,,0,,0,,2,"Beads- circular blue, circular white faience, circular blue counted as 1 object
various other beads all counted as 1 object",1,Bone needle 1,0,,0,,0,,0,0,,30,0,1,2,0,1,1,31,34,3,30,1
Kalavasos Panayia Church,South,PreBA 2,39,MC I/II,0,,0,,17,"RPm III spouted bowl 1
RP III juglet 2
RPm III juglet 2
RPm III jug 2
RPm III bowl 5
RP III juglet 3
RPm III miniature bowl 1
RP III amphora 1",0,,0,"High number of pots, above the site average",9,"Copper/bronze bracelet frags 3
4 copper/bronze fragments 4
Copper/bronze fragments 2",1,Tin-arsenic-copper knife 1 (tested),0,,0,,0,,2,"Spherical faience bead 1
4 copper/bronze fragments with small faience bead 1",0,,0,,0,,0,,0,0,,17,0,0,3,0,10,10,26,29,3,17,0
Kalavasos Panayia Church,South,PreBA 2,42,MC,0,,0,,11,"RPm III bowl 4
RPm III sherds from closed vessel 1
RPm III juglet 2
RP III juglet 3
RP III juglet 1",0,,0,,0,,0,,0,,0,,0,,1,2 lg spherical faience beads counted as 1 object,0,,0,,0,,0,,0,0,,11,0,0,1,0,0,0,11,12,1,11,0
Kalavasos Panayia Church,South,PreBA 2,43,MC I (III),4,"White Painted III-IV alternating broad band and wavy line style mug (North) 1
White Painted IV cross line juglet (North) 1
White Painted II closed vessel sherds 1
White Painted III bowl rim sherd 1",0,Not completely excavated,4,"RPm III bowl 2
RPm III ladle/dipper 1
Black/Brown Polished bottle sherds 1",0,,1,White Painted III-IV alternating broad band and wavy line style mug (North) 1,0,,0,,0,,1,"Several hundred bones and frags from minimum 5 dogs, caprines and pig- remains deposited as whole animals",0,,0,,0,,0,,0,,0,,0,0,,8,0,4,0,0,0,0,4,8,4,10,4
Kalavasos Panayia Church,South,PreBA 2,45,MC I,0,Only 2/3 excavated,0,,12,"RPm III jug 6
RPm III bowl 4
RP III black topped bowl 1
RP III amphora 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,12,0,0,0,0,0,0,12,12,0,12,0
Kalavasos Panayia Church,South,PreBA 2,46,MC,1,Sherds from White Slip II bowl 1,0,,28,"RPm III jug 4
RPm III amphora 2
RPm III bowl 3
RPm III ladle/dipper 1
RP III coarse bowl 2
RP III BT juglet 1
RP III spouted bowl 1
RP III amphora 1
RPm III juglet 1
Black/Brown Polished bottle 5
RP III coarse amphora 1
RP III BT bottle 6",0,,0,"High number of pots, above average for the cemetery",1,Arsenical copper pin 1 (tested),0,,0,,1,"Equid, no less than 2 individuals- may have been deposited in dromos and pushed into tomb",0,,1,"Faience, long bead 1",3,"Black/Brown Polished spindle whorl 1
Small red and black beads counted as 1 object
Brown polished spindle whorl 1",0,,0,,0,,0,0,,29,0,1,1,0,1,1,32,34,2,30,1
Kalavasos Panayia Church,South,PreBA 2,55,EC/MC,0,,0,,4,"RPm small bowl 3
RPm jar 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,4,0,0,0,0,0,0,4,4,0,4,0
Kalavasos Panayia Church,South,PreBA 2,60,EC/MC,2,"RP juglet ""gourd"" 2",0,,18,"RPm miniature black topped bowl 1
RPm small black topped bowl 1
RPm small bowl 3
RPm small bowl w/loop handle 1
RPm miniature bowl w/loop handle 1
RPm miniature bowl 1
RPm bowl 1
RPm bottle 1
RPm juglet 8",0,,0,,8,"6 copper fragments counted as 1 object
3 copper fragments counted as 1 object
Copper bracelet 1
Copper dagger/knife with three rivets 1
Copper scraper/razor 1
75 small copper fragments counted as 1 object
2 copper bracelet fragments counted as 1 object
Fragment of copper strip with beads attached 1",0,,0,,0,,0,,2,"Faience bead 10
Decorated faience bead 2
6 Faience beads together
7 faience beads together 
2 faience beads together
Faience and stone beads together 1
26 stone beads and 5 faience beads counted as 1",0,,0,,0,,2,"1 stone anthropomorphic pendant, possibly picrolite 
1 stone spacer possibly picrolite",0,0,,20,0,2,2,0,10,8,28,32,4,20,2
Kalavasos Panayia Church,South,PreBA 2,65,MC,1,Black Slip lg bowl 1,0,,28,"RP spouted bowl 1
RPm amphora 1
RPm lg bowl 2
RPm med bowl w/loop handle 1
RPm small bowl w/loop handle 5
RP miniature bowl w/loop handle ""ladle"" 1
RPm small bowl 2
RP small bowl 1
RPm jar ""cooking pot"" 1
RPm juglet 3
RPm juglet ""gourd"" 1
RP juglet 2
RPm lg jug 2
RPm small jug 1
BrP jug or bottle 1
RP amphoriskos 1
RP amphora 1 
RP closed vessel fragment 1",0,,0,,9,"Copper pin fragment 1
Copper axe 1
6 copper fragments 1
Tubular copper ornament and 1 copper strip counted as 1
Pair of triangular copper objects counted as 1
Tubular copper ornament 1
Copper strip fragment 1
Copper dagger/knife with 3 rivets 1
Three copper spiral fragments (faience bead) 1",0,,0,,0,,0,,2,"18 faience beads + 3 fragments counted as 1 object
Faience bead (with three copper spiral frags) 1
Faience beads",0,,0,,0,,0,,0,0,,29,0,1,2,0,9,9,37,40,3,29,1
Kalavasos Panayia Church,South,PreBA 2,66,EC/MC,0,,0,,11,"RPm small bowl w/loop handle 5
RPm spouted bowl 1
RPm juglet 3
RP small black topped bowl 1
RPm juglet ""gourd"" 1",0,,0,,0,,0,,0,,0,,0,,2,"Faience bead 2
Stone and faience beads counted as 1 object",1,"Ten stone, one ceramic and one faience bead 1",0,,0,,0,,0,0,,11,0,0,2,0,0,0,12,14,2,11,0
Kalavasos Panayia Church,South,PreBA 2,67,EC/MC,4,"White Polished amphora 1
Black Slip juglet 1
RP gourd juglet 1
WP II juglet 1",0,,94,"RPm miniature bowl 3
miniature bowl 1
RPm small bowl 5
RPm med bowl 1
RPm lg bowl 4
RP bowl w/loop handles 1
RP small bowl w/loop handle 1
RPm med bowl w/loop handle 1
RPm small bowl w/loop handle 2
RPm miniature bowl w/loop handle 4
RPm bowl w/double pointed handle 3
RPm small w/double pointed loop handle 1
RPm bowl 1
RP jug 1
RP small jug 1
RPm med jug 3
RPm lg jug 7
RPm jug 1
RP lg jug 1
RPm small jug 3
RPm juglet 13
RP juglet 2
RPm miniature juglet ""gourd"" 2
RPm small juglet ""gourd"" 1
RPm amphora 7
RP amphora 4
RPm amphoriskos 2
RPm lg amphora 3
RPm Pithos 3
RPm jar ""cooking pot"" 2
RPm pyxis with lid 1
RP double spouted bowl 1
RPm spouted bowl 2
RPm lg spouted bowl 1
RPm basin 1
BrP juglet 1
BrP miniature bowl w/loop handle 1
RPm composite vessel with three attached bowls 1
RP bottle 1",2,"RPm lg jug with snake/wavy band decoration and table like projections on rim 1
RPm lg bowl w/double pointed handles and snake/wavy band decorations and table like projections on rim 1",1,"RPm composite vessel with three attached bowls and high rising loop handle and lugs, decorated 1

High number of vessels, above average for cemetery",6,"9 copper fragments counted as 1 object
Tubular copper ornament 2
Copper scraper/razor with one rivet 1
Triangular copper object 1
7 copper fragments counted as 1 object",0,,0,,1,2 bone fragments of sheep/goat,0,,2,"Faience bead 1
Faience beads- necklace 1",7,"Chert blade 1
Stone pounder 1
Stone pebble 3
Spindle whorl 2",0,,0,,0,,0,0,,98,0,4,2,2,6,6,107,113,6,100,4
Kalavasos Panayia Church,South,PreBA 2,68,EC/MC,1,"RP juglet ""gourd"" 1",0,,4,"RPm miniature bowl w/loop handle 1
RPm juglet 1
RPm small bowl w/loop handle 1
RPm miniature spouted bowl 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,5,0,1,0,0,0,0,4,5,1,5,1
Kalavasos Panayia Church,South,PreBA 2,69,EC/MC,2,"RP juglet ""gourd"" 1
WP II sherd 1",0,,17,"RPm juglet 6
RP juglet 1
RPm miniature juglet 1
RPm miniature bowl 2
RPm miniature bowl w/vertical loop handle 1
RPm miniature bowl w/double pointed loop handle 2
RPm small bowl w/double pointed loop handle 1
RPm juglet ""gourd"" 1
RPm bowl 1
BP miniature bowl 1",0,,0,,5,"Copper fragment 1
Copper object with projection 2
Copper fragment 1
3 copper fragments counted as 1 object",0,,0,,1,3 rib fragments of sheep/goat,0,,1,Faience bead 1,1,Chert blade with silica sheen 1,1,DP sherd 1,0,,0,,0,0,,20,1,2,1,0,5,5,23,27,4,21,3
Kalavasos Panayia Church,South,PreBA 2,057/058/063 total,EC/MC,3,,0,,93,,0,,1,see 057,14,,0,,0,,1,,0,,1,,2,,0,,0,,0,,0,0,,96,0,3,1,0,14,14,109,113,4,98,3
Kalavasos Panayia Church,South,PreBA 2,059/061/062 Total,EC/MC,2,,0,,55,,0,,0,,7,,0,,0,,2,,0,,1,,2,,0,,0,,0,,0,0,,57,0,2,1,0,7,7,64,67,3,59,2
Kalavasos Panayia Church,South,PreBA 2,070/071/072 Total,EC/MC,4,,0,,98,,0,,4,,11,,0,,0,,3,,0,,2,,6,,0,,0,,0,,0,0,,102,0,4,2,0,11,11,115,121,6,109,4
Karmi Lapatsa,North,PreBA 1,5,ECI,1,RPI-II bowl 1,0,,21,"RPI BT horn lug bowl 4
RPI BT bowl 1
RPI flask 1
RPI amphora 2
RPI jug 5
RPI BT tulip bowl 1
RPI spouted ladle 1
Coarse platter 1
RPI amphora/jar rim 1
Sherds: 
RP cutaway mouth 1
RP tulip bowl 1
RPI open vessel 1
RP lg bowl rim 1",0,,2,"RPI BT tulip bowl 1
RP tulip bowl sherd 1",1,Copper based scraper 1,0,,0,,0,,0,,0,,1,Spindle whorl 1,0,,0,,0,,0,0,,22,0,1,0,0,1,1,23,24,1,24,1
Karmi Lapatsa,North,PreBA 1,9,ECI,0,,0,,7,"RPI jug 2
RPI BT spouted bowl 1
RPII BT knob lug bowl 1
RPI tulip bowl 1
RPI amphora 1
RPI BT tulip bowl 1",1,RP Plank shaped anthropomorphic figurine 1,2,"RPI tulip bowl 1
RPI BT tulip bowl 1",0,,0,,0,,0,,0,,0,,0,,0,,1,RP Plank shaped anthropomorphic figurine 1,0,,0,0,,7,1,0,0,1,0,0,7,8,1,9,1
Karmi Lapatsa,North,PreBA 1,11,Prior to ECIII,0,,0,,34,"RPIII pyxis with lid and plank shaped anthropomorphs 1
RPIII jug 7
RPII-III knob lug bowl 3
RPIII knob lug bowl 4
RPIII BT knob lug bowl 1
RPIII BT bowl 1
RPIII amphora 1
RPIII dipper amphora 1
Sherds:
15 vessels from sherds",1,RPIII pyxis with human figures (lgest known) 1,0,,0,,0,,0,,0,,0,,0,,2,"Spindle whorl 1
Spindle whorl (steatite) 1",0,,0,,0,,0,0,,34,0,0,0,1,0,0,36,36,0,34,0
Karmi Lapatsa,North,PreBA 1,12,ECII,0,,0,,29,"Dromos: RPII-III lg open spouted bowl 1
Chamber:
RPII jug 4
RPI jug 4
RPI juglet 1
RPI or II bowl 3
RPI amphora 2
RPI-II amphora 1
RPII bowl 2
RPI BT horn lug bowl 3
RPII BT knob lug bowl 1
RPI BT tulip bowl 2
RPI or II tubular spouted bowl 1
RPI or II BT flask 1
RPI-II BT bowl 2
RP lg pithos 1",0,,2,RPI BT tulip bowl 2,2,Copper based pin 2,0,,0,,0,,0,,0,,1,Spindle whorl 1,0,,0,,0,,0,0,,29,0,0,0,0,2,2,32,32,0,31,0
Karmi Lapatsa,North,PreBA 1,15,ECI-II,1,RP I-II bowl 1,0,,33,"RPI-II jug 4
RPI jug 5
RPI small jug 1
RPII jug 1
RPI amphora 7
RPII amphora 1
RPI BT earlug pot 1
RPI BT tulip bowl 4
RPII BT horn lug bowl 4
RPII-III BT knob lug bowl 1
RPII BT bowl 1
RP II coarse juglet 1 
RP bowl 1
RPII small  amphora 1",0,,4,RPI BT tulip bowl 4,1,Copper based knife or scraper 1,0,,0,,0,,0,,0,,2,"Spindle whorl 1
Whetstone 1",1,RPI BT earlug pot 1,0,,0,,0,0,,35,1,1,0,0,1,1,36,38,2,39,2
Karmi Lapatsa,North,PreBA 1,16,ECII,0,,0,,5,"RPI jug 1
RPII BT bowl 1
RPI BT stemmed tulip bowl 1
RPI BT horn lug bowl 2",0,,1,RPI BT stemmed tulip bowl 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,5,0,0,0,0,0,0,5,5,0,6,0
Karmi Lapatsa,North,PreBA 2,1,ECIII/MCI,0,,0,,34,"Dromos: RPIII knob lug bowl 2
Chamber:
RPIII knob lug bowl 6
RPIII jug with disk, snake and bucranium motif 1
RPIII jug 4
RPIII amphora 3
RPIII BT knob lug bowl 3
RPI jug 2
RP Coarse cook pot 1
RPIII jug with bucrania, circle and crescent motif 1
RPIII gourd juglet 1
RPI amphora 1
RPIII bowl 1
RPI BT bowl 2
RPIII juglet 1
RPI BT tulip bowl 2
Coarse ware fragment 1
RPI BT flask 1
RPI BT horn lug bowl 1






RPI BT bowl 2
Coarse ware mealing bin 1",2,"RPIII jug with disk, snake and bucranium motif 1
RPIII jug with bucrania, circle and crescent motif 1",2,RPI BT tulip bowl 2,1,Copper based knife 1,0,,0,,0,,0,,0,,1,Spindle whorl 1,0,,0,,0,,0,0,,34,0,0,0,2,1,1,36,36,0,36,0
Karmi Lapatsa,North,PreBA 2,4,ECII-ECIII,0,,0,"Construction in ECII , initial use in ECIII",15,"Dromos: RP lg bowl 1
RPIII BT bowl 1
RPIII jug 5
RPIII knob lug bowl 3
RPIII double spouted composite bowl 1
RPII-III jug 1
RPII jug 1
RPIII pyxis 1
RPIII gourd juglet 1
From sherds not counted, earlier burial: 
RP jug 5
RP body sherds from lg closed vessels 72 sherds 1
RP juglet 2
RP small vessel 1
RP bowl sherds 13
RP bowl with incised decoration 1
Bowl sherd with black rim 1
RP spout 1
Coarse ware sherds 9
Coarse ware pithos sherd 1",0,,1,RPIII composite bowl with two bowls joined at rim with tubular spouts 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,15,0,0,0,0,0,0,15,15,0,16,0
Karmi Lapatsa,North,PreBA 2,007 Total,ECIII-MCI,0,,0,,24,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,24,0,0,0,0,0,0,24,24,0,24,0
Karmi Lapatsa,North,PreBA 2,014 Total,ECIII-MCI,0,,0,,41,,1,,0,,0,,0,,0,,0,,0,,0,,1,,1,,0,,0,,0,0,,42,1,0,0,1,0,0,42,43,1,42,1
Karmi Palealona,North,PreBA 1,6,ECI or II,1,RPI-II bowl 1,0,,21,"RPI BT tulip bowl 6
RPI jug 4
RPI small jug 1
RPI closed vessel 4
RPI BT bowl 1
RPI-II bowl 1
RPI BT flask 1
RPI flask (sherd) 1
RPI lg open vessel (sherd) 1
RPI small mottled bowl (sherd) 1",1,Decorated tomb with anthropomorphic figure and possibly stylized bull's heads (v's),6,RPI BT tulip bowl 6,0,,0,,0,,0,,0,,0,,3,"Spindle whorl 2
Spindle whorl, button or toggle 1",0,,0,,0,,0,9,,22,0,1,0,1,0,0,24,25,1,28,1
Karmi Palealona,North,PreBA 1,12,ECI,0,,0,,12,"RPI BT tulip bowl 3
RPI closed vessel 1
RPI BT horn lug bowl 2
RP lg closed vessel (sherds) 1
RP lg open vessel (sherds) 1
RP uncertain (sherds) 1
RPI lg jug (sherds) 1
RPI lg open vessel (sherds) 2",0,,3,RP BT tulip bowl 3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,12,0,0,0,0,0,0,12,12,0,15,0
Karmi Palealona,North,PreBA 1,001A Burial 1,ECII,0,,0,,4,RPII bowl 1                                            RPI BT horn lug  bowl 1                         RPI BT flask 1                                            RPI BT bowl 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,4,0,0,0,0,0,0,4,4,0,4,0
Karmi Palealona,North,PreBA 1,002 Burial 1,ECI-II,0,,0,,29,"RPII knob lug bowl 1                         
RPI juglet 1                                                
RPI Coarse small jug or juglet 1     
RPI jug 7                                                       
RPII pithos or jar 1                             
RPII bowl 4
RPI-II jug 1                                               
RPI bowl 2
RPI amphora 1                                        
RPI BT horn lug bowl 3
RPI or II BT horn lug bowl 1           
RPI BT bowl 1
RPI tubular spouted bowl 1           
 RPI BT tulip bowl 2
RPI BT flask 2",1,RPI very large jug with similar decoration to cult vessels from Vounous 1,3,"RPI BT tulip bowl (import) 1
RPI BT tulip bowl 2",0,,0,,0,,0,,0,,0,,0,,2,RPI BT tulip bowl from Vounous 1                            RPI lg jug with cult motif 1,0,,0,,0,4,,31,2,0,0,1,0,0,29,31,2,34,2
Karmi Palealona,North,PreBA 1,003A,ECII,6,"RPIII BT knob lug bowl from Deneia 1
RPIII knob lug bowl from Deneia 1
BP knob lug bowl 1
BP juglet 1
BP juglet or flask 2",0,,121,"Upper Layer: 
RPIII gourd juglet 1
RPIII amphora 1
RPIII tubular spouted bowl 1 
Lower layer:
RPIII gourd juglet 6
RPIII knob lug bowl 54
RPIII BT knob lug bowl 9
RPIII BT horn lug bowl 1
RPIII juglet or flask 2
RPIII jug 3
RPIII juglet 6
RPIII small amphora 2
RPIII miniature juglet 1
RPIII composite vessel 1
RPIII bowl/ladle 1
RPIII bowl 3
RPIII dipper/amphora 2
RPIII amphora 1
RPIII pyxis 2
RPIII pedestal bowl 1
RPIII flask 2
RPIII tubular spouted bowl 3
RPIII Coarse cooking pot 1
RPII bowl 2
RPII dish 1
RPII juglet 1
RPII bowl with vertical lug 1
RPII BT bowl 1
RPIII-IV bowl 1
RPI BT tulip bowl 4
RPI BT small jar 1
RPI-II tulip bowl 1
RPI BT horn lug bowl 1
RPI BT bowl 1
Passage to T. 8:
RPI BT tulip bowl 1
RPI BT horn lug bowl 1",2,RP lg planked shaped figurine 2,8,"RPIII composite vessel 1
RPI BT tulip bowl 5 (1 with very fine incision)
RPIII pedestal bowl 1
RPI-II tulip bowl 1",10,"Copper based pin 3
Copper based knife 2
Copper based pinched spring tweezers 2
Copper based awl 1
Copper based needle 1
Copper based scraper 1",0,,0,,0,,0,,0,,12,"Spindle whorl 11
Button/toggle 1",5,"WPII jug 1
RPII gourd juglet 1
WPII small amphora 3",2,RP lg planked shaped figurine 2,0,,0,0,,132,7,6,0,2,10,10,143,156,13,140,13
Karmi Palealona,North,PreBA 1,005 Burial 1,ECII,0,,0,,12,"RP II horn lug bowl 1
RPIII BT knob lug bowl 2
RPII BT bowl 1
RPI BT tulip bowl 1
RPI jug 2
RPII jug 3
RPI-II jug 1
RPII-III juglet 1",1,Model Sheath (rare) 1,1,RPI BT tulip bowl 1,0,,0,,0,,0,,0,,0,,0,,1,Model Sheath (rare) 1,0,,0,,0,0,,13,1,0,0,1,0,0,12,13,1,14,1
Karmi Palealona,North,PreBA 1,009A Burial 1,ECII,0,,0,,5,"RPII BT born lug bowl 3
RPI BT horn lug bowl 1                      
 RPI-II bowl 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,5,0,0,0,0,0,0,5,5,0,5,0
Karmi Palealona,North,PreBA 1,015B,ECII/III,0,,0,,11,"RPII jug 1
RPII small amphora 1
RP amphora lid 1
RPII-III knob lug bowl 1
RPIII BT knob lug bowl 1
RPII-III bowl 1
RPI-II pointed tulip bowl (sherds) 1
RPI-II jugs (sherds) 3
RP small bowl (sherds) 1",0,,1,RPI-II pointed tulip bowl (sherds) 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,1,,11,0,0,0,0,0,0,11,11,0,12,0
Karmi Palealona,North,PreBA 2,001A Burial 2,ECIII/MCI,0,,0,,15,"RPIII knob lug bowl 4
RPIII BT knob lug bowl 1
RPIII jug 6
RPIII jug or juglet 1
RPIII small amphora 1
RPIII Coarse ware cooking pot 1
RPIII gourd juglet 1",0,,0,,1,Copper based scraper 1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,15,0,0,0,0,1,1,16,16,0,15,0
Karmi Palealona,North,PreBA 2,001B,MCI-II,0,,0,,8,"RP BT knob lug bowl 3
RPIII knob lug bowl 1
RP jug 1
RPIII jug 1
RPIII flask 1
RPIII-IV bowl 1",0,,0,,2,"Copper based knife 1
Copper based open spring tweezers 1",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,8,0,0,0,0,2,2,10,10,0,8,0
Karmi Palealona,North,PreBA 2,002 Burial 2,MCI-II,3,"RPIII BT knob lug bowl from Deneia 2
BP juglet or flask 1",0,,45,"RPIII knob lug bowl 22
RPIII BT knob lug bowl 7
RPII/III knob lug bowl 2
RPIII BT bowl 1
RPIII juglet 6
RPIII small tubular spouted bowl 1
RP juglet 1
RPIII dipper juglet 1
RPIII gourd juglet 1
RPIII Coarse ware cooking pot 1
RPIV juglet or tankard 1
RPII-III knob lug bowl 1",0,,0,,4,"Copper based pin 2
Copper based needle 1
Copper base spatulate implement 1",0,,1,"Arsenical copper knife (sampled, from Cyclades) 1",0,,0,,0,,10,"Spindle whorl 5
Black pebble 1
Whetstone 1
Perforated ceramic disk maybe a lid 2
Chert flake 1",4,"WPII small bowl 1
WPIII small amphora 1
WPII small jug 1
WPIII bottle or jug 1
WP sherds",0,,0,,0,0,,52,4,3,1,0,6,6,59,68,8,52,7
Karmi Palealona,North,PreBA 2,004 Total,ECII-MCI,1,,0,,27,,0,,1,,0,,0,,0,,0,,0,,0,,3,,0,,0,,0,,0,0,,28,0,1,0,0,0,0,30,31,1,29,1
Karmi Palealona,North,PreBA 2,005 Burial 2,MCI-II,2,"BP knob lug bowl 1
BP bowl 1",0,,74,"Dromos: spouted lamp 1
Chamber:
RPIII juglet 6
RPIII knob lug bowl 34
RPIII Coarse ware cooking pot 2
RPIII Coarse tripod cooking pot 1
RPIII amphora 4
RPIII Coarse amphora 2
RPIII jug 9
RPIII gourd juglet 2
RPIII BT knob lug bowl 9
RPIII small tubular spouted bowl 1
RPIII bowl 1
RPIII small amphora or juglet 1
RPIII spouted bowl 1",4,"RP anthropomorphic figurine with earrings 1
RP anthropomorphic female figurine wearing pendant 1
RPIII jug with stags and disc 1
RPIII jug with horned quadruped 1",0,Many bowls and cooking pots,1,Copper based scraper or implement 1,0,,0,,0,,0,,1,3 Small blue paste beads found in dump counted as 1 object,6,"Spindle whorl 4
RP anthropomorphic figurine with earrings 1
RP anthropomorphic female figurine wearing pendant 1",2,"RPIII jug with stags and disc 1
RPIII jug with horned quadruped 1
Misc sherds with quadrupeds (?)",0,,0,,0,0,,78,2,2,1,4,1,1,81,86,5,78,4
Karmi Palealona,North,PreBA 2,009A Burial 2,ECIII/MCI,0,,0,,13,"RPIII knob lug bowl 7
RPIII jug 1
RPIII amphora 1
RPIII dipper juglet or amphora 1
RPIII BT knob lug bowl 1
RPIII Coarse cooking pot 1
RPIII bowl 1",1,RP plank shaped anthropomorphic figurine 1,0,,0,,0,,0,,0,,0,,0,,1,Spindle whorl 1,0,,1,RP plank shaped anthropomorphic figurine 1,0,,0,0,,13,1,0,0,1,0,0,14,15,1,13,1
